target_pair,attribute_pair,PES,p_value
"American+United States, East Asian+China+South Korea+Japan","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment",-0.23044474213412175,1.0
"American+United States, East Asian+China+South Korea+Japan","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",0.0202920892183015,0.005672754553544045
"American+United States, East Asian+China+South Korea+Japan","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.23259158140165914,1.0
"American+United States, East Asian+China+South Korea+Japan","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.4291978254946715,6.46286423804153e-19
"American+United States, East Asian+China+South Korea+Japan","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",0.7726876586678244,4.306611442212632e-251
"American+United States, East Asian+China+South Korea+Japan","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.3819620312193895,1.0
"American+United States, East Asian+China+South Korea+Japan","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.5456565659623596,0.0
"American+United States, East Asian+China+South Korea+Japan","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.959486061152207,1.0
"American+United States, East Asian+China+South Korea+Japan","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.11702736493764114,9.845130197460382e-130
"American+United States, East Asian+China+South Korea+Japan","Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.567513936679277,1.7101052588271874e-107
