target_pair,attribute_pair,PES,p_value
"American+United States, East Asian+South Korea+Japan+China","competitive+leadership+critical thinking+public speaking+teamwork+resilience, academic-focused+achievement+personal discipline+dedication+rigorous+study habits+academic success+technical skills",-0.048239608672764646,0.9999436287912805
"American+United States, East Asian+South Korea+Japan+China","competitive+leadership+critical thinking+public speaking+teamwork+resilience, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+creativity+individuality",0.12124234741356024,5.0875758460347625e-24
"American+United States, East Asian+South Korea+Japan+China","competitive+leadership+critical thinking+public speaking+teamwork+resilience, athletic+physical fitness+community+teamwork+resilience+pride+disciplined+dedicated",-0.10516135987228085,1.0
"American+United States, East Asian+South Korea+Japan+China","competitive+leadership+critical thinking+public speaking+teamwork+resilience, social service+community involvement+social welfare+social awareness+responsibility+commitment+social impact+collective welfare",0.47919960020074326,4.1143781975108675e-33
"American+United States, East Asian+South Korea+Japan+China","academic-focused+achievement+personal discipline+dedication+rigorous+study habits+academic success+technical skills, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+creativity+individuality",1.0462093020193763,6.81845922724457e-281
"American+United States, East Asian+South Korea+Japan+China","academic-focused+achievement+personal discipline+dedication+rigorous+study habits+academic success+technical skills, athletic+physical fitness+community+teamwork+resilience+pride+disciplined+dedicated",-0.4870349150403904,1.0
"American+United States, East Asian+South Korea+Japan+China","academic-focused+achievement+personal discipline+dedication+rigorous+study habits+academic success+technical skills, social service+community involvement+social welfare+social awareness+responsibility+commitment+social impact+collective welfare",0.5601343756695032,9.465304244986588e-159
"American+United States, East Asian+South Korea+Japan+China","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+creativity+individuality, athletic+physical fitness+community+teamwork+resilience+pride+disciplined+dedicated",-0.8023236180435881,1.0
"American+United States, East Asian+South Korea+Japan+China","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+creativity+individuality, social service+community involvement+social welfare+social awareness+responsibility+commitment+social impact+collective welfare",0.2649408184014572,8.366044435248069e-196
"American+United States, East Asian+South Korea+Japan+China","athletic+physical fitness+community+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+social welfare+social awareness+responsibility+commitment+social impact+collective welfare",0.5330389159703487,1.1553393887198315e-72
"American+United States, European+France+Germany+Italy+Switzerland","competitive+leadership+critical thinking+public speaking+teamwork+resilience, academic-focused+achievement+personal discipline+dedication+rigorous+study habits+academic success+technical skills",-0.9516986240309229,1.0
